iter	Logloss
0	0.6856779553
1	0.6790265038
2	0.6731772287
3	0.6672212873
4	0.6625391642
5	0.655427188
6	0.6489153181
7	0.644720241
8	0.6385694231
9	0.6336331322
10	0.6275918143
11	0.6220865159
12	0.6171289353
13	0.6106509254
14	0.6057286944
15	0.6004318237
16	0.5957815261
17	0.5907097226
18	0.5859789167
19	0.5805104937
20	0.5744600205
21	0.5706658136
22	0.5653835478
23	0.5604796273
24	0.5558350336
25	0.5506248111
26	0.54608474
27	0.5414600554
28	0.5371740432
29	0.5333957127
30	0.5286899748
31	0.5237622216
32	0.5206201463
33	0.5154156276
34	0.5115179879
35	0.5081892468
36	0.5042037964
37	0.5009177435
38	0.4974468413
39	0.493476904
40	0.4895268758
41	0.486143203
42	0.4830062866
43	0.4792465573
44	0.4759593055
45	0.4724300566
46	0.4694158645
47	0.4668622335
48	0.4641291664
49	0.4609932309
50	0.4578842526
51	0.455384536
52	0.4526995341
53	0.4498818897
54	0.4474531991
55	0.4451136271
56	0.4423054286
57	0.4399486723
58	0.4371640523
59	0.4343397958
60	0.431439318
61	0.4288565136
62	0.4266188485
63	0.4247534616
64	0.4223629906
65	0.419875481
66	0.4176358178
67	0.4153534299
68	0.4137370518
69	0.4113899594
70	0.4089864822
71	0.4068013509
72	0.4047231765
73	0.4023365566
74	0.3999679929
75	0.3981443859
76	0.3963147481
77	0.3945165725
78	0.3928648812
79	0.391305324
80	0.3895308722
81	0.3878968012
82	0.3856585185
83	0.3835043044
84	0.3813148499
85	0.3799761091
86	0.3785010928
87	0.3771416074
88	0.3754495167
89	0.3738305228
90	0.3719871521
91	0.3700032552
92	0.3686186291
93	0.3668729146
94	0.3651987348
95	0.363504319
96	0.3616047814
97	0.3603168306
98	0.3588606335
99	0.3575676328
100	0.3559154692
101	0.3548158555
102	0.3525922503
103	0.3511741275
104	0.3496972947
105	0.3479651315
106	0.3465653556
107	0.3455132621
108	0.344233086
109	0.3431745257
110	0.3421680269
111	0.3409932454
112	0.340171378
113	0.3387951442
114	0.3376703172
115	0.3365472703
116	0.3349438622
117	0.3339244661
118	0.3327312651
119	0.3316640945
120	0.3304294405
121	0.3293042864
122	0.3280590966
123	0.326851981
124	0.3257182893
125	0.3249592372
126	0.3236415318
127	0.3224037897
128	0.3213481358
129	0.3200786409
130	0.3192169189
131	0.3181897118
132	0.3167706444
133	0.3161168416
134	0.3148084368
135	0.314218285
136	0.3132327125
137	0.3122654506
138	0.3114291963
139	0.3103552682
140	0.3090109689
141	0.3081973848
142	0.3072456723
143	0.3061778477
144	0.3053159078
145	0.3045354752
146	0.3036051069
147	0.3025439308
148	0.3016805013
149	0.3007625217
150	0.2996261415
151	0.2990323385
152	0.2979958852
153	0.2968918573
154	0.2959516616
155	0.2952018374
156	0.2942291441
157	0.2933992295
158	0.292670695
159	0.2918457213
160	0.2913060506
161	0.2907505762
162	0.2901177543
163	0.289155397
164	0.2882603237
165	0.2875935509
166	0.2865643093
167	0.2856584821
168	0.2850734892
169	0.2842070625
170	0.2835617974
171	0.2827064696
172	0.281918117
173	0.2809821356
174	0.2802291144
175	0.2796740032
176	0.2790671576
177	0.2784201122
178	0.2775813148
179	0.276835814
180	0.2759532747
181	0.2753184001
182	0.2745691935
183	0.2739552634
184	0.2731632051
185	0.2726275489
186	0.2721403939
187	0.2713257563
188	0.2704867953
189	0.2699550992
190	0.2692733401
191	0.2686227708
192	0.2680509295
193	0.2675459907
194	0.2668719337
195	0.2661308652
196	0.2654629844
197	0.2646565574
198	0.2637863522
199	0.2629872277
200	0.2622986385
201	0.2616847629
202	0.2610000429
203	0.2602298555
204	0.2598772685
205	0.2592005412
206	0.2585990179
207	0.257863072
208	0.2575596764
209	0.2568729946
210	0.2564623515
211	0.2559009007
212	0.2554836818
213	0.2547491709
214	0.2544406528
215	0.2537216368
216	0.2533349173
217	0.2525150481
218	0.2520430065
219	0.2514177413
220	0.2506086985
221	0.2500460125
222	0.2494900295
223	0.2489426749
224	0.2482039315
225	0.2474640619
226	0.2470287868
227	0.2465537662
228	0.2460070655
229	0.2454557873
230	0.244879768
231	0.2442551022
232	0.2437826611
233	0.2433181218
234	0.2429227375
235	0.2424188886
236	0.2419969468
237	0.241534333
238	0.2409039452
239	0.2404696873
240	0.2400297074
241	0.2395381019
242	0.2390413193
243	0.2384293329
244	0.23794087
245	0.2375560034
246	0.2370316097
247	0.2365367344
248	0.2363443829
249	0.2360166641
250	0.2355302175
251	0.2351506551
252	0.2344463167
253	0.2340436481
254	0.2334757669
255	0.2331133343
256	0.2326520829
257	0.2321596418
258	0.2315621149
259	0.2310383933
260	0.230605298
261	0.2300762358
262	0.229582069
263	0.2290461222
264	0.228549158
265	0.2280959538
266	0.227662368
267	0.227208964
268	0.226799647
269	0.2265717643
270	0.2259861537
271	0.2255470639
272	0.2249649048
273	0.2244217646
274	0.2241245815
275	0.2236589704
276	0.2233524867
277	0.2231196812
278	0.2226029896
279	0.2220549992
280	0.2217230661
281	0.221602449
282	0.2212334769
283	0.2208854675
284	0.2203449431
285	0.2200951531
286	0.2194998242
287	0.2191538674
288	0.2185929435
289	0.2182383038
290	0.2176707313
291	0.2170478457
292	0.2166289557
293	0.2163377308
294	0.2159952255
295	0.2155939738
296	0.2152125041
297	0.21471732
298	0.2143013
299	0.2136413938
300	0.2133891151
301	0.2130217234
302	0.2127915519
303	0.2123532976
304	0.2120137169
305	0.2113604046
306	0.2110224769
307	0.2108612787
308	0.2105240595
309	0.2102507455
310	0.2099142892
311	0.2095057715
312	0.209116309
313	0.2087510064
314	0.2083911714
315	0.2080122811
316	0.2077055613
317	0.2073120662
318	0.206934393
319	0.2066012246
320	0.2062528701
321	0.2059022813
322	0.2055698758
323	0.2053184509
324	0.2051642827
325	0.2048266456
326	0.2043680827
327	0.2039389111
328	0.2035249801
329	0.2030145009
330	0.2027752468
331	0.2026099432
332	0.2022751944
333	0.2018580845
334	0.2015357608
335	0.2012730735
336	0.2009508042
337	0.2005409241
338	0.2001692817
339	0.2000278655
340	0.199524834
341	0.1992650895
342	0.1989838555
343	0.1986530122
344	0.1984623864
345	0.1982368651
346	0.1978572664
347	0.1974456787
348	0.1970620655
349	0.1965667361
350	0.1961649395
351	0.1956976028
352	0.1954386212
353	0.1949758439
354	0.1946471623
355	0.1942494347
356	0.1937368847
357	0.1934023721
358	0.1931868235
359	0.1930096036
360	0.1927975246
361	0.1924618312
362	0.1921167646
363	0.1919842493
364	0.1917479379
365	0.1913816543
366	0.1909093221
367	0.1906418755
368	0.1903582982
369	0.190188308
370	0.1898825873
371	0.1896357945
372	0.1894373757
373	0.1891988482
374	0.1889165061
375	0.1886518388
376	0.1881977626
377	0.187900961
378	0.1876788185
379	0.1872374217
380	0.1870765686
381	0.1867842175
382	0.1863564991
383	0.1860953195
384	0.1857834044
385	0.1855274564
386	0.1851365771
387	0.1850164686
388	0.1847913288
389	0.1845151629
390	0.1842455546
391	0.18392819
392	0.1837516603
393	0.1834422884
394	0.1831815992
395	0.1829651242
396	0.1827091035
397	0.1824241638
398	0.1819437299
399	0.1817041306
400	0.181564658
401	0.1812254406
402	0.1810078212
403	0.1807418097
404	0.1804300762
405	0.1800736382
406	0.1797475179
407	0.1796554929
408	0.1794340224
409	0.1792255583
410	0.1790167672
411	0.1787096659
412	0.1785393306
413	0.1782935188
414	0.1777581351
415	0.1775559198
416	0.1772134327
417	0.1770020984
418	0.1767121088
419	0.1764359429
420	0.1762564523
421	0.1759964353
422	0.1757047199
423	0.1754257929
424	0.1751609257
425	0.1748986744
426	0.1746268318
427	0.1742893764
428	0.1739843459
429	0.1736774263
430	0.1733907245
431	0.1731669835
432	0.1729878743
433	0.1727661496
434	0.1723987034
435	0.1719842093
436	0.171736581
437	0.1715823946
438	0.1713189625
439	0.1709460122
440	0.1707628523
441	0.1706517174
442	0.1704492478
443	0.1702787672
444	0.1700918107
445	0.1698146638
446	0.1695261637
447	0.1692252749
448	0.1690038227
449	0.1687033517
450	0.1684544336
451	0.1682291667
452	0.1680136908
453	0.1677638099
454	0.1673372178
455	0.1669807797
456	0.1667812529
457	0.1664800916
458	0.1663274311
459	0.1659590222
460	0.1656513032
461	0.165490541
462	0.1653379894
463	0.1651640029
464	0.164885421
465	0.1647234599
466	0.1644148327
467	0.1641063327
468	0.1638722738
469	0.1636902945
470	0.163455727
471	0.1630934579
472	0.1629659199
473	0.1629003979
474	0.1627367837
475	0.1625310807
476	0.1622962225
477	0.1621155875
478	0.1619364966
479	0.1617329189
480	0.1615674155
481	0.1613998595
482	0.1611073812
483	0.1609424046
484	0.1607223511
485	0.1604721433
486	0.1602410089
487	0.1600942339
488	0.1599059877
489	0.159606643
490	0.159400395
491	0.1593251546
492	0.1591576712
493	0.158904557
494	0.1587266105
495	0.158511952
496	0.15841257
497	0.1582183838
498	0.1581522442
499	0.157867141
500	0.1577656337
501	0.1576173692
502	0.1574515025
503	0.1571794237
504	0.1570186433
505	0.1569128491
506	0.156784984
507	0.1565229143
508	0.1563313439
509	0.1560338702
510	0.1559416998
511	0.1554874239
512	0.1552451906
513	0.1550462269
514	0.1548967089
515	0.1546242305
516	0.1544652848
517	0.1542584737
518	0.1541097005
519	0.1539154053
520	0.1537221636
521	0.1535398574
522	0.153320367
523	0.1530972799
524	0.1529576983
525	0.1527295067
526	0.1525595529
527	0.1523505801
528	0.1522467477
529	0.1520236787
530	0.1518289748
531	0.151675851
532	0.1514085497
533	0.1511408306
534	0.1510332198
535	0.150856345
536	0.1507092794
537	0.1505080632
538	0.1503121149
539	0.1501474471
540	0.1500118801
541	0.1497829256
542	0.1496929623
543	0.149505924
544	0.1492762339
545	0.149110458
546	0.1489040829
547	0.1486449741
548	0.1485345205
549	0.1483176913
550	0.1480333601
551	0.1478241512
552	0.147568403
553	0.1473883038
554	0.1469685872
555	0.1467595691
556	0.1465985616
557	0.1463900612
558	0.1461080097
559	0.1458320709
560	0.1456928616
561	0.1455274945
562	0.1453601111
563	0.1450980958
564	0.1448676246
565	0.1447192419
566	0.1446029118
567	0.1444857098
568	0.1442007973
569	0.1440750576
570	0.1438897632
571	0.1435896465
572	0.1434349333
573	0.1431852159
574	0.1430717832
575	0.1428918021
576	0.1426076435
577	0.1424479257
578	0.142344829
579	0.1422373363
580	0.1420325688
581	0.1419023423
582	0.1417165484
583	0.141480355
584	0.1413211096
585	0.1411959239
586	0.1410441535
587	0.1409286499
588	0.1406777427
589	0.1405999865
590	0.1405185245
591	0.1402818952
592	0.1400525956
593	0.1398405166
594	0.139606167
595	0.1393347331
596	0.1391617185
597	0.1390156337
598	0.1388849168
599	0.1387809208
600	0.1386674972
601	0.1385456812
602	0.1383959997
603	0.1382922672
604	0.1379954747
605	0.1378775097
606	0.1377576011
607	0.1375779197
608	0.1374510266
609	0.1372849328
610	0.137136205
611	0.1368557521
612	0.1366340456
613	0.1365067073
614	0.1362755094
615	0.1361667815
616	0.1360868545
617	0.135889017
618	0.1357735679
619	0.1354653495
620	0.1353122075
621	0.1352305276
622	0.135101391
623	0.1349524907
624	0.1348419553
625	0.134625344
626	0.1344097137
627	0.1342964899
628	0.1341801961
629	0.1340363639
630	0.1338500159
631	0.1337206523
632	0.1334793454
633	0.1332764217
634	0.1331281571
635	0.1329602923
636	0.1327577409
637	0.1325104941
638	0.1323555265
639	0.1321966807
640	0.132043457
641	0.1318634941
642	0.1316521236
643	0.1313992455
644	0.1311448415
645	0.1310553505
646	0.1309744517
647	0.1308575585
648	0.1307041077
649	0.1305366698
650	0.1303748176
651	0.1301249005
652	0.1299570901
653	0.1297901426
654	0.1297056107
655	0.1295459566
656	0.1293289275
657	0.1292002178
658	0.1290748687
659	0.1289659591
660	0.1288225628
661	0.12867636
662	0.1285205205
663	0.1284066336
664	0.1282488505
665	0.1280636742
666	0.1278827849
667	0.1277520316
668	0.1275262923
669	0.1274292719
670	0.1273081825
671	0.1271165212
672	0.1269572303
673	0.1267820449
674	0.1266258512
675	0.1264350165
676	0.1262078694
677	0.126026417
678	0.1258893967
679	0.1257729303
680	0.1256652832
681	0.1254773912
682	0.1252911522
683	0.1251156762
684	0.1249432882
685	0.1247644334
686	0.1244799659
687	0.1243338085
688	0.124231829
689	0.1241733551
690	0.1239911579
691	0.1238920666
692	0.1237811134
693	0.1236468996
694	0.1235173634
695	0.1233374459
696	0.1232460476
